"","study.area","station","station.season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads1000m","roads500m","roads200m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC1000","nTC1000","nV1000","EVI1000","sdEVI1000","TC500","nTC500","nV500","EVI500","sdEVI500","TC200","nTC200","nV200","EVI200","sdEVI200","rbbt.ha","rbbt.se","n.sites","rdt.ha","rdt.se","As.ha","As.se"
"18","CNP","C38","C38a",-4.42737,39.34398,4.929529903,9.646167218,1.943271013,10.90719663,5.292588518,0,0,0,1.943271013,5.292588518,0,0,0,4.83333333333333,74.5416666666667,20.625,17582708.3333333,4075092.34894032,2.08333333333333,77,20.9166666666667,14766666.6666667,4963498.11735199,2,77.5,20.5,15050000,5145701.48279124,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"19","CNP","C40","C40a",-4.40265,39.34525,4.805127376,10.08607256,3.526480962,10.42436585,5.509129309,0,0,0,3.526480962,5.509129309,0,0,0,14.7647058823529,66.4901960784314,18.7450980392157,22261764.7058824,2029915.9704344,14,66.6363636363636,19.3636363636364,23395454.5454545,2185452.22923792,15.5,66.5,18,26285000,3721208.64101974,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"20","CNP","C42","C42a",-4.38,39.34517,5.82688993,9.365523686,4.612844825,9.788850213,6.659121881,0,0,0,4.612844825,6.659121881,3.33333333333333,0,0,16.9130434782609,64.6304347826087,18.4565217391304,24896739.1304348,2751543.47044604,21.75,58,20.25,26104166.6666667,1799947.92127165,24,55.5,20.5,27455000,1821708.98090532,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"21","CNP","C44","C44a",-4.36232,39.3426,6.979676788,9.52399578,5.743322668,9.449493728,6.444618547,0,0,0,5.743322668,6.444618547,0,0,0,16.7,63.54,19.76,24558600,2663084.52884579,16.6363636363636,60.3636363636364,23,26125454.5454545,2342045.75228263,19,59,22,29800000,2330946.39816344,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"22","CNP","C45","C45a",-4.48492,39.33557,5.346400305,11.86216664,0.365316254,8.471636263,4.173577624,0,0,0,0.365316254,4.173577624,0,0,10.7142857142857,33.1363636363636,54.1136363636364,12.75,28979090.9090909,1308149.48217804,33.4166666666667,55,11.5833333333333,29004166.6666667,1488944.81911947,34.3333333333333,56.3333333333333,9.33333333333333,28800000,1450231.78224111,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"23","CNP","C47","C47a",-4.46048,39.33773,6.285798033,10.65071382,0.753019363,8.878033963,5.882593018,0,0,0,0.753019363,5.882593018,0,0,0,7.46666666666667,71.8666666666667,20.6666666666667,18093333.3333333,1520584.89441558,3.75,74.5,21.75,16774166.6666667,1461955.38952349,3.33333333333333,74,22.6666666666667,16993333.3333333,1743581.70456501,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"24","CNP","C49","C49a",-4.43803,39.33547,4.61867474,10.54872357,0.546310873,9.500731265,4.811073888,0,0,0,0.546310873,4.811073888,0,0,13.3333333333333,10.531914893617,69.8085106382979,19.6595744680851,21468510.6382979,2078957.80381003,9.41666666666667,70.5833333333333,20,21375833.3333333,2004599.91852073,13,66.5,20.5,22680000,1350817.91066664,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"25","CNP","C51","C51a",-4.41208,39.33837,3.95471926,10.56294825,2.437500263,10.16828317,4.551399493,0,0,0,2.437500263,4.551399493,0,0,0,2.47826086956522,78.8260869565217,18.695652173913,14226739.1304348,4595122.34133222,2,78.2857142857143,19.7142857142857,13374285.7142857,4681283.15633608,2,78,20,13150000,5010594.40086703,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"26","CNP","C53","C53a",-4.39173,39.3375,4.402579681,10.48860314,3.195479674,9.216662523,5.212331596,0,0,0,3.195479674,5.212331596,0,0,0,8.70833333333333,70.7708333333333,20.5208333333333,19145416.6666667,3377159.15373451,8.16666666666667,70.1666666666667,21.6666666666667,17980000,3106477.65703247,4,74,22,15990000,3151682.20073732,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
"27","CNP","C55","C55a",-4.36862,39.33853,6.151094403,9.977054219,4.914123677,8.969244638,6.844151808,0,0,0,4.914123677,6.844151808,0,0,0,8.63829787234043,71.0425531914894,20.3191489361702,21616170.212766,4586059.32748076,3.84615384615385,75.2307692307692,20.9230769230769,18426923.0769231,5394802.9374932,2,73,25,17610000,6231114.35548338,1.792,0.919636159938628,15,0.713774557466161,0.206883890036136,0.0470776545912483,0.0470776545912483
