"","study.area","station.season","station","season","utm_x","utm_y","dst.waterbodies","dst_rivers","dst_streams","dst_settlement","dst_roads","roads500m","dst.water","dst.human","rabbit.ts","lynx.ts","rodent.ts","TC500nb","nTC500nb","nV500nb","EVI500nb","TC500b","nTC500b","nV500b","EVI500b","rbbt.ha.nb","rbbt.se.nb","rbbt.ha.b","rbbt.se.b","rdt.ha.nb","rdt.se.nb","rdt.ha.b","rdt.se.b"
"78","CNP","C87a","C87","nonbreeding",-4.3655,39.3723,9.23065394,6.212486212,5.153476056,11.18071958,8.882689876,0,5.153476056,8.882689876,0,0,6.45161290322581,31.9166666666667,55.6666666666667,12.4166666666667,33061666.6666667,41.3333333333333,52.9166666666667,5.75,31032500,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"79","CNP","P54a","P54","nonbreeding",-4.38138,39.33805,5.107319422,10.17270828,3.878559679,9.025947965,5.947735844,0,3.878559679,5.947735844,0,0,0,2.72727272727273,81.0909090909091,16.1818181818182,28545454.5454545,7,85.5454545454545,7.45454545454545,36942727.2727273,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"80","CNP","P54w","P54","breeding",-4.38138,39.33805,5.107319422,10.17270828,3.878559679,9.025947965,5.947735844,0,3.878559679,5.947735844,0,0,0,2.72727272727273,81.0909090909091,16.1818181818182,28545454.5454545,7,85.5454545454545,7.45454545454545,36942727.2727273,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"81","CNP","P56a","P56","nonbreeding",-4.35747,39.33863,7.147777513,9.51735394,5.787169747,9.067767894,5.753637092,0,5.787169747,5.753637092,0,0,0,15.8181818181818,61.4545454545455,22.7272727272727,30458181.8181818,22.4545454545455,69.7272727272727,7.81818181818182,29589090.9090909,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"82","CNP","P56w","P56","breeding",-4.35747,39.33863,7.147777513,9.51735394,5.787169747,9.067767894,5.753637092,0,5.787169747,5.753637092,0,0,3.57142857142857,15.8181818181818,61.4545454545455,22.7272727272727,30458181.8181818,22.4545454545455,69.7272727272727,7.81818181818182,29589090.9090909,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"83","CNP","P58a","P58","nonbreeding",-4.33672,39.33618,9.038151941,7.226068063,6.977731163,9.364226755,3.752915672,0,6.977731163,3.752915672,0,0,0,19,60.5714285714286,20.4285714285714,30972857.1428571,22.7857142857143,67.4285714285714,9.78571428571429,30893571.4285714,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"84","CNP","P58w","P58","breeding",-4.33672,39.33618,9.038151941,7.226068063,6.977731163,9.364226755,3.752915672,0,6.977731163,3.752915672,0,0,10.7142857142857,19,60.5714285714286,20.4285714285714,30972857.1428571,22.7857142857143,67.4285714285714,9.78571428571429,30893571.4285714,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"85","CNP","P29a","P29","nonbreeding",-4.35773,39.35443,8.239303124,8.231789682,6.742128942,10.80916995,6.845713814,0,6.742128942,6.845713814,0,0,0,32.9166666666667,58.5833333333333,8.5,31549166.6666667,40.5,55.3333333333333,4.16666666666667,31539166.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"86","CNP","P29w","P29","breeding",-4.35773,39.35443,8.239303124,8.231789682,6.742128942,10.80916995,6.845713814,0,6.742128942,6.845713814,0,0,46.4285714285714,32.9166666666667,58.5833333333333,8.5,31549166.6666667,40.5,55.3333333333333,4.16666666666667,31539166.6666667,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
"87","CNP","P43a","P43","nonbreeding",-4.36983,39.3424,6.339984012,9.551631715,5.101297347,9.400826378,7.158485134,0,5.101297347,7.158485134,0,0,0,12.75,64.5833333333333,22.6666666666667,29012500,17.4166666666667,75.0833333333333,7.5,31557500,1.792,0.919636159938628,4.67714285714286,1.84782683964273,0.713774557466161,0.206883890036136,1.91044988024427,1.13295995544231
